,case_id,bgid,age,income,sample_inc,ami_catego,tract,elec_consu,TRACTCE10,BLOCKCE10,GEOID10,geometry,household_,attitude,pbc,subnorms
868,75031,128004,25to44,less75k,24283.93888223105,2,12800,101.029416,12800.0,4001.0,360010128004001.0,POINT (-73.70132563510754 42.77365777763163),0,0.5625,-1.0,1.0
869,75033,128004,25to44,less75k,35499.229191538085,2,12800,101.029416,12800.0,4001.0,360010128004001.0,POINT (-73.70198683703467 42.77312792337379),0,0.0,-0.16666666666666666,1.0
870,75036,128004,25to44,75to100k,90247.67299095672,4,12800,124.0863595,12800.0,4001.0,360010128004001.0,POINT (-73.70257214667842 42.77323209401396),0,-0.1875,-0.16666666666666666,0.0
871,75037,128004,25to44,100to150k,115463.21032907125,4,12800,124.0863595,12800.0,4001.0,360010128004001.0,POINT (-73.70244173940304 42.77253553475331),0,0.5625,-0.6666666666666666,0.0
872,75040,128004,55to64,less75k,68493.61964584238,1,12800,110.040484,12800.0,4001.0,360010128004001.0,POINT (-73.70110497420829 42.77304354785072),0,0.125,-0.6666666666666666,0.75
873,75045,128004,55to64,100to150k,119950.56447611119,4,12800,124.0863595,12800.0,4001.0,360010128004001.0,POINT (-73.70214974153851 42.77343661932783),0,0.6875,0.16666666666666666,0.0
874,75052,128004,65plus,75to100k,93056.976956909,4,12800,124.0863595,12800.0,4001.0,360010128004001.0,POINT (-73.70152370143563 42.77378327852065),0,0.0625,0.0,0.0
875,75056,128004,25to44,less75k,67835.84449739178,3,12800,105.21587450000001,12800.0,4001.0,360010128004001.0,POINT (-73.70273353343822 42.77299642327382),0,1.0,-0.5,0.5
876,75069,128004,55to64,less75k,20289.00893759876,1,12800,110.040484,12800.0,4001.0,360010128004001.0,POINT (-73.70127667662577 42.77287852381563),0,0.5625,0.0,1.0
877,75075,128004,55to64,75to100k,87527.21178509922,4,12800,124.0863595,12800.0,4001.0,360010128004001.0,POINT (-73.7027733481944 42.77402256368938),0,-0.25,-0.3333333333333333,0.75
878,75080,128004,65plus,less75k,27059.933062671178,3,12800,105.21587450000001,12800.0,4001.0,360010128004001.0,POINT (-73.70130667880076 42.77315861929913),0,0.875,-0.3333333333333333,0.0
879,75115,128004,65plus,75to100k,75613.99407522588,4,12800,124.0863595,12800.0,4001.0,360010128004001.0,POINT (-73.701480542415 42.77266478343547),1,0.875,-0.16666666666666666,0.75
8623,12092,128002,25to44,75to100k,88513.50906392069,4,12800,124.0863595,12800.0,2006.0,360010128002006.0,POINT (-73.70551529451477 42.75922577621584),0,0.875,0.0,0.5
8624,12153,128002,25to44,100to150k,111983.9098911546,4,12800,124.0863595,12800.0,2006.0,360010128002006.0,POINT (-73.70430954463686 42.76015173446724),0,0.0,-0.5,0.75
8625,12169,128002,55to64,less75k,58973.410588592254,1,12800,110.040484,12800.0,2006.0,360010128002006.0,POINT (-73.70489392897646 42.75889993576197),0,0.5,-0.3333333333333333,0.5
8626,12176,128002,55to64,less75k,27703.139152634547,2,12800,101.029416,12800.0,2006.0,360010128002006.0,POINT (-73.70528126470259 42.7587857002509),0,0.3125,0.0,0.75
8627,12185,128002,55to64,less75k,32130.44579624129,1,12800,110.040484,12800.0,2006.0,360010128002006.0,POINT (-73.70444756742717 42.75998488449444),0,-0.0625,-0.16666666666666666,1.0
8628,12212,128002,65plus,less75k,52457.78468889454,1,12800,110.040484,12800.0,2006.0,360010128002006.0,POINT (-73.70523965665161 42.7592433506204),0,0.3125,-0.5,0.5
8629,12213,128002,65plus,less75k,44513.584545605736,3,12800,105.21587450000001,12800.0,2006.0,360010128002006.0,POINT (-73.70479568900654 42.75975257740488),0,0.0625,-0.6666666666666666,0.25
8630,12228,128002,65plus,75to100k,76333.06388839996,4,12800,124.0863595,12800.0,2006.0,360010128002006.0,POINT (-73.705453957641 42.75933909469462),0,0.0,0.3333333333333333,0.5
8631,12247,128002,45to54,75to100k,83344.67325716914,4,12800,124.0863595,12800.0,2006.0,360010128002006.0,POINT (-73.70483989255261 42.7597745879684),1,0.5,-0.3333333333333333,0.5
8632,12251,128002,55to64,less75k,62810.91920378278,3,12800,105.21587450000001,12800.0,2006.0,360010128002006.0,POINT (-73.70480665778156 42.7598380770733),1,0.4375,-0.3333333333333333,0.5
8633,12253,128002,55to64,less75k,27264.89305856892,3,12800,105.21587450000001,12800.0,2006.0,360010128002006.0,POINT (-73.70406903544441 42.76065471105687),1,0.5,0.16666666666666666,0.5
8634,12259,128002,55to64,less75k,31769.666593480713,2,12800,101.029416,12800.0,2006.0,360010128002006.0,POINT (-73.70485873579641 42.75938367857506),1,-0.1875,-0.16666666666666666,0.5
8772,75035,128004,25to44,75to100k,80980.06608167668,4,12800,124.0863595,12800.0,4012.0,360010128004012.0,POINT (-73.70713537624692 42.77486205064275),0,0.6875,-0.16666666666666666,0.5
8773,75043,128004,55to64,75to100k,85965.3589038465,4,12800,124.0863595,12800.0,4012.0,360010128004012.0,POINT (-73.70740277822426 42.77461307452673),0,0.375,-0.5,0.5
8774,75057,128004,25to44,less75k,48382.495243631725,1,12800,110.040484,12800.0,4012.0,360010128004012.0,POINT (-73.7051240201357 42.77336405965221),0,0.8125,-0.5,1.0
8775,75067,128004,55to64,less75k,49226.88067936305,1,12800,110.040484,12800.0,4012.0,360010128004012.0,POINT (-73.70616776040964 42.77391602368793),0,-0.25,-0.5,0.5
8776,75079,128004,65plus,less75k,31783.00873130191,3,12800,105.21587450000001,12800.0,4012.0,360010128004012.0,POINT (-73.7068361285686 42.77426192404042),0,0.3125,-0.3333333333333333,0.0
8777,75094,128004,25to44,100to150k,103185.27517522831,4,12800,124.0863595,12800.0,4012.0,360010128004012.0,POINT (-73.70688917746989 42.77441038486968),1,0.75,0.0,0.25
8778,75107,128004,25to44,75to100k,97757.67604692439,4,12800,124.0863595,12800.0,4012.0,360010128004012.0,POINT (-73.70537464956833 42.77295738383141),1,-0.4375,-0.8333333333333334,-0.25
8779,75108,128004,25to44,100to150k,100892.24605386684,4,12800,124.0863595,12800.0,4012.0,360010128004012.0,POINT (-73.70563529597767 42.77323737903297),1,0.8125,-0.16666666666666666,0.5
8780,75109,128004,55to64,less75k,29407.24697513355,2,12800,101.029416,12800.0,4012.0,360010128004012.0,POINT (-73.70716395506049 42.77503941183166),1,0.125,-0.16666666666666666,0.5
9325,12091,128002,25to44,75to100k,97404.59111870687,4,12800,124.0863595,12800.0,2005.0,360010128002005.0,POINT (-73.70359643134778 42.76079351911775),0,0.125,-0.5,0.5
9326,12151,128002,25to44,75to100k,98280.84202935186,4,12800,124.0863595,12800.0,2005.0,360010128002005.0,POINT (-73.70287487737845 42.76084377567475),0,0.875,0.0,1.0
9327,12233,128002,65plus,100to150k,104249.02635418523,4,12800,124.0863595,12800.0,2005.0,360010128002005.0,POINT (-73.70354822414627 42.76023761187946),0,0.0625,-0.5,-0.25
9328,12248,128002,45to54,100to150k,104869.88536503584,4,12800,124.0863595,12800.0,2005.0,360010128002005.0,POINT (-73.70354916585906 42.76061570721116),1,0.1875,-0.5,0.5
9332,12405,128003,25to44,less75k,38087.90562227102,1,12800,110.040484,12800.0,3010.0,360010128003010.0,POINT (-73.70381426310101 42.76774041558718),0,-0.5625,-0.16666666666666666,0.5
