CASE_ID,age,income,household_,attitude,subnorms,pbc
000049601,65plus,less75k,0.0,0.25,-0.5,-0.1666666666666666
000043073,65plus,75to100k,0.0,0.0625,0.0,-0.3333333333333333
000063832,25to44,less75k,0.0,0.8125,0.25,-0.3333333333333333
000078663,65plus,150kplus,0.0,0.6875,0.0,0.0
000059458,25to44,75to100k,0.0,0.5,0.5,-0.1666666666666666
000075571,25to44,less75k,0.0,0.0,-0.25,0.0
000060473,65plus,less75k,1.0,0.375,-0.5,-0.5
000040631,25to44,less75k,0.0,0.375,0.25,0.0
000028861,65plus,less75k,0.0,0.1875,0.0,-0.1666666666666666
000013324,55to64,150kplus,0.0,0.875,0.0,0.0
000028854,55to64,75to100k,0.0,0.3125,0.0,-0.1666666666666666
000041723,45to54,150kplus,0.0,0.625,0.75,-0.1666666666666666
000046607,65plus,150kplus,1.0,0.375,0.5,0.1666666666666666
000040559,45to54,150kplus,0.0,0.75,0.5,-0.6666666666666666
000014667,45to54,150kplus,0.0,0.75,1.0,0.0
000043259,65plus,75to100k,1.0,0.25,1.0,-0.1666666666666666
000060530,65plus,150kplus,1.0,0.375,0.75,0.1666666666666666
000031243,45to54,100to150k,0.0,0.1875,1.0,0.0
000040717,45to54,150kplus,0.0,0.5625,0.75,0.0
000042800,55to64,75to100k,0.0,0.6875,0.0,-0.5
000013883,55to64,75to100k,1.0,0.375,0.25,-0.6666666666666666
000046304,25to44,75to100k,0.0,0.75,0.5,-0.6666666666666666
000031354,45to54,less75k,0.0,0.3125,0.25,-0.6666666666666666
000075040,55to64,less75k,0.0,0.375,0.5,-0.3333333333333333
000075685,45to54,100to150k,0.0,-0.4375,0.25,-0.1666666666666666
000002670,45to54,less75k,1.0,0.125,0.75,-0.3333333333333333
000023201,65plus,100to150k,0.0,0.3125,1.0,0.0
000041536,55to64,100to150k,1.0,0.6875,0.5,-0.3333333333333333
000046201,45to54,less75k,0.0,0.3125,0.25,0.0
000040932,25to44,75to100k,1.0,0.0,1.0,-0.8333333333333334
000067000,55to64,75to100k,1.0,0.3125,0.75,-0.3333333333333333
000015428,55to64,less75k,0.0,-0.25,0.5,-0.3333333333333333
000065922,45to54,100to150k,1.0,0.25,0.25,-0.1666666666666666
000015321,65plus,less75k,0.0,0.5625,0.5,-0.3333333333333333
000076310,65plus,75to100k,1.0,0.875,1.0,-0.5
000060057,45to54,150kplus,0.0,0.375,0.5,-0.6666666666666666
000005136,45to54,less75k,1.0,0.375,0.0,-0.6666666666666666
000050613,25to44,150kplus,1.0,0.9375,0.0,-0.1666666666666666
000015490,65plus,150kplus,0.0,-0.3125,0.5,0.0
000015628,45to54,100to150k,1.0,0.4375,0.0,-0.5
000044232,25to44,75to100k,0.0,0.375,0.75,0.0
000015002,45to54,150kplus,0.0,0.3125,-0.5,0.0
000060393,65plus,less75k,1.0,0.0625,0.25,-0.5
000008732,25to44,100to150k,1.0,0.0,0.5,0.5
000041985,65plus,less75k,0.0,-0.25,0.25,-0.1666666666666666
000057479,45to54,less75k,1.0,0.125,0.5,-0.3333333333333333
