,CASE_ID,age,income,household_,attitude,subnorms,pbc,lon,lat,geoid,ami_categ,elec_consumption,tract,bgid
0,49601,65plus,less75k,0.0,0.25,-0.5,-0.1666666666666666,-73.76145474665628,42.730810494615945,360010136013003,1,110.040484,013601,0136013
1,43073,65plus,75to100k,0.0,0.0625,0.0,-0.3333333333333333,-73.86376512299647,42.68991119291591,360010146082000,4,124.0863595,014608,0146082
2,63832,25to44,less75k,0.0,0.8125,0.25,-0.3333333333333333,-73.74488529004833,42.68851770415705,360010136022016,2,101.029416,013602,0136022
3,78663,65plus,150kplus,0.0,0.6875,0.0,0.0,-73.89201000804775,42.68514717484211,360010146144010,4,124.0863595,014614,0146144
4,59458,25to44,75to100k,0.0,0.5,0.5,-0.1666666666666666,-73.73878095826834,42.81132366244029,360010135081000,4,124.0863595,013508,0135081
5,75571,25to44,less75k,0.0,0.0,-0.25,0.0,-73.82825715459113,42.727439070841626,360010139022005,1,110.040484,013902,0139022
6,60473,65plus,less75k,1.0,0.375,-0.5,-0.5,-73.85176445891113,42.732117073871024,360010139012000,2,101.029416,013901,0139012
7,40631,25to44,less75k,0.0,0.375,0.25,0.0,-74.02800539092092,42.7063972523432,360010146121001,3,105.2158745,014612,0146121
8,28861,65plus,less75k,0.0,0.1875,0.0,-0.1666666666666666,-73.76009353885468,42.61994396546931,360010026004001,1,110.040484,002600,0026004
9,13324,55to64,150kplus,0.0,0.875,0.0,0.0,-73.82247815638321,42.71031607562381,360010139023034,4,124.0863595,013902,0139023
10,28854,55to64,75to100k,0.0,0.3125,0.0,-0.1666666666666666,-73.7625813206932,42.62119330177735,360010026004001,4,124.0863595,002600,0026004
11,41723,45to54,150kplus,0.0,0.625,0.75,-0.1666666666666666,-74.21102910924485,42.560934731077026,360010148012035,4,124.0863595,014801,0148012
12,46607,65plus,150kplus,1.0,0.375,0.5,0.1666666666666666,-73.72496208328111,42.812457059912425,360010135032000,4,124.0863595,013503,0135032
13,40559,45to54,150kplus,0.0,0.75,0.5,-0.6666666666666666,-74.02639290170481,42.71142877562893,360010146121000,4,124.0863595,014612,0146121
14,14667,45to54,150kplus,0.0,0.75,1.0,0.0,-73.83934077584136,42.61312003686021,360010142033009,4,124.0863595,014203,0142033
15,43259,65plus,75to100k,1.0,0.25,1.0,-0.1666666666666666,-73.88376391922442,42.69808484227134,360010146082020,4,124.0863595,014608,0146082
16,60530,65plus,150kplus,1.0,0.375,0.75,0.1666666666666666,-73.84610908707137,42.72760731776659,360010139012002,4,124.0863595,013901,0139012
17,31243,45to54,100to150k,0.0,0.1875,1.0,0.0,-73.81976864452547,42.674629735309345,360010018024001,4,124.0863595,001802,0018024
18,40717,45to54,150kplus,0.0,0.5625,0.75,0.0,-74.02454103043445,42.7101063730822,360010146121000,4,124.0863595,014612,0146121
19,42800,55to64,75to100k,0.0,0.6875,0.0,-0.5,-73.88106878039204,42.697096666909225,360010146082017,4,124.0863595,014608,0146082
20,13883,55to64,75to100k,1.0,0.375,0.25,-0.6666666666666666,-73.82623816756484,42.71824773571931,360010139023019,4,124.0863595,013902,0139023
21,46304,25to44,75to100k,0.0,0.75,0.5,-0.6666666666666666,-73.72464396109527,42.81859120619319,360010135032000,3,105.2158745,013503,0135032
22,31354,45to54,less75k,0.0,0.3125,0.25,-0.6666666666666666,-73.81938863475354,42.67507950005673,360010018024001,3,105.2158745,001802,0018024
23,75040,55to64,less75k,0.0,0.375,0.5,-0.3333333333333333,-73.70110497420829,42.77304354785072,360010128004001,1,110.040484,012800,0128004
24,75685,45to54,100to150k,0.0,-0.4375,0.25,-0.1666666666666666,-73.82893359622356,42.72632649148335,360010139022005,4,124.0863595,013902,0139022
