,CASE_ID,age,income,household_,attitude,subnorms,pbc
0,52969,45to54,75to100k,1,0.125,1.0,-0.3333333333333333
1,52970,45to54,75to100k,1,0.6875,0.0,0.0
2,52973,45to54,100to150k,1,0.0625,0.5,-0.6666666666666666
3,52990,55to64,less75k,1,0.125,0.5,-0.3333333333333333
4,52991,55to64,less75k,1,0.625,0.5,-0.16666666666666666
5,53000,55to64,75to100k,1,0.625,0.0,0.3333333333333333
6,53004,55to64,100to150k,1,0.4375,0.5,0.16666666666666666
7,53006,55to64,100to150k,1,-1.0,0.75,-0.3333333333333333
8,53012,55to64,150kplus,1,-0.0625,0.25,0.16666666666666666
9,53026,65plus,75to100k,1,0.375,0.5,-0.5
10,53028,65plus,100to150k,1,0.5,0.5,-0.3333333333333333
11,53033,65plus,100to150k,1,0.125,0.5,-0.3333333333333333
12,53035,65plus,150kplus,1,0.1875,0.5,0.0
13,53036,65plus,150kplus,1,0.375,0.5,0.0
14,53037,65plus,150kplus,1,0.1875,0.5,0.0
15,53038,65plus,150kplus,1,0.375,0.75,0.16666666666666666
16,53040,25to44,75to100k,1,0.875,0.5,-0.6666666666666666
17,53042,25to44,150kplus,1,0.375,0.0,-0.3333333333333333
18,53048,45to54,100to150k,1,0.6875,0.5,-0.3333333333333333
19,53050,45to54,150kplus,1,0.5,0.5,-0.5
20,53054,55to64,100to150k,1,1.0,0.75,0.16666666666666666
21,53058,65plus,less75k,1,0.625,-0.5,-1.0
22,53059,65plus,less75k,1,0.3125,0.25,-0.6666666666666666
23,53062,65plus,150kplus,1,0.1875,0.5,0.0
24,52330,45to54,100to150k,0,0.125,0.5,-0.8333333333333334
25,52355,55to64,75to100k,0,0.375,0.0,-0.3333333333333333
26,52358,55to64,100to150k,0,0.4375,0.5,0.0
27,52361,55to64,100to150k,0,0.4375,0.25,-0.8333333333333334
28,52382,65plus,less75k,0,0.25,0.5,-0.6666666666666666
29,52383,65plus,less75k,0,0.125,0.25,-0.16666666666666666
30,52404,25to44,less75k,0,0.625,0.25,0.0
31,52418,25to44,100to150k,0,0.375,0.0,-0.3333333333333333
32,52454,45to54,less75k,0,0.3125,0.5,-0.6666666666666666
33,52474,45to54,75to100k,0,0.25,0.25,-0.6666666666666666
34,52491,45to54,100to150k,0,-0.4375,0.5,-0.6666666666666666
35,52532,55to64,less75k,0,0.6875,0.25,-0.5
36,52534,55to64,less75k,0,-0.6875,0.5,-0.5
37,52570,55to64,100to150k,0,0.3125,0.0,-0.16666666666666666
38,52590,55to64,150kplus,0,0.5,0.0,-0.16666666666666666
39,52599,55to64,150kplus,0,0.25,0.0,-0.8333333333333334
40,52629,65plus,75to100k,0,-0.125,0.75,0.16666666666666666
41,52633,65plus,75to100k,0,-0.1875,0.0,-0.6666666666666666
42,52648,65plus,100to150k,0,0.25,0.25,-0.16666666666666666
43,52663,65plus,150kplus,0,-0.25,0.5,-0.16666666666666666
44,52680,45to54,less75k,1,0.4375,1.0,0.0
45,52681,45to54,less75k,1,0.6875,1.0,-0.8333333333333334
46,52691,45to54,less75k,1,0.5,0.5,-0.5
47,52710,45to54,100to150k,1,0.25,0.25,-0.3333333333333333
48,52714,45to54,100to150k,1,0.0625,0.5,-0.3333333333333333
49,52722,45to54,150kplus,1,0.125,0.0,-0.6666666666666666
50,52739,55to64,less75k,1,0.25,0.5,-0.16666666666666666
51,52766,55to64,100to150k,1,0.0,0.25,-1.0
52,52792,65plus,75to100k,1,0.9375,0.5,-0.16666666666666666
53,52802,65plus,100to150k,1,0.0625,0.25,0.5
54,52805,65plus,150kplus,1,0.375,0.5,0.0
55,52813,25to44,less75k,1,0.1875,-0.5,-1.0
56,52830,45to54,less75k,1,0.25,0.75,-0.16666666666666666
57,52882,55to64,less75k,1,0.3125,0.5,-0.3333333333333333
58,52910,55to64,150kplus,1,0.125,0.5,-0.5
59,52921,65plus,less75k,1,0.3125,0.25,-0.16666666666666666
60,52927,65plus,75to100k,1,0.9375,1.0,0.0
61,52936,65plus,150kplus,1,0.1875,0.75,0.16666666666666666
62,52939,65plus,150kplus,1,0.1875,0.75,0.16666666666666666
63,52950,25to44,100to150k,1,0.5625,0.5,-0.16666666666666666
64,52963,45to54,less75k,1,0.375,1.0,-0.6666666666666666
65,52981,45to54,150kplus,1,0.125,0.0,-0.3333333333333333
66,52995,55to64,less75k,1,0.125,0.5,-0.16666666666666666
67,53005,55to64,100to150k,1,1.0,0.0,-0.16666666666666666
68,53021,65plus,less75k,1,0.375,0.25,-1.0
69,53046,45to54,75to100k,1,0.3125,-0.25,-0.3333333333333333
70,10571,65plus,150kplus,0,0.0,0.5,0.16666666666666666
71,10586,25to44,less75k,1,0.1875,1.0,-0.16666666666666666
72,10675,25to44,75to100k,1,-0.0625,0.0,0.0
73,10749,25to44,100to150k,1,0.125,0.75,-0.5
74,60781,55to64,150kplus,0,0.0625,-0.75,-0.16666666666666666
75,60840,25to44,75to100k,0,0.9375,0.75,-0.3333333333333333
76,61025,55to64,150kplus,0,0.875,0.5,-0.3333333333333333
77,60707,45to54,less75k,0,0.3125,0.75,-0.3333333333333333
78,60989,55to64,100to150k,0,0.25,0.0,0.0
79,61352,65plus,100to150k,1,0.125,0.5,-0.16666666666666666
80,60749,55to64,75to100k,0,0.1875,0.0,-0.3333333333333333
81,60785,65plus,less75k,0,-0.5,0.25,0.0
82,60827,25to44,less75k,0,0.625,0.25,-0.16666666666666666
83,60841,25to44,75to100k,0,0.125,0.5,-0.5
84,60857,25to44,100to150k,0,0.75,0.25,-0.6666666666666666
85,60858,25to44,100to150k,0,0.5625,0.75,-0.3333333333333333
86,61020,55to64,100to150k,0,-0.25,0.25,0.0
87,61082,65plus,100to150k,0,0.75,0.0,-0.16666666666666666
88,61151,55to64,100to150k,1,1.0,0.5,-0.3333333333333333
89,61171,65plus,150kplus,1,0.1875,0.5,0.0
90,61259,55to64,75to100k,1,0.375,0.0,-0.16666666666666666
91,61354,25_below,less75k,1,0.0,0.0,0.0
92,61370,55to64,100to150k,1,-1.0,0.0,0.16666666666666666
93,61299,65plus,less75k,1,0.0625,0.0,-0.16666666666666666
94,60944,55to64,less75k,0,0.4375,0.5,0.0
95,61280,55to64,100to150k,1,0.25,0.75,-0.3333333333333333
96,60750,55to64,100to150k,0,0.6875,0.75,0.0
97,60800,65plus,100to150k,0,0.0625,0.5,-0.5
98,60828,25to44,less75k,0,0.3125,0.25,-0.8333333333333334
99,60846,25to44,75to100k,0,0.5625,0.5,-0.16666666666666666
100,60911,45to54,100to150k,0,0.1875,0.0,0.0
101,60918,45to54,100to150k,0,-0.0625,-0.5,0.0
102,60972,55to64,75to100k,0,0.4375,0.0,-0.16666666666666666
103,60997,55to64,100to150k,0,0.125,0.5,-0.3333333333333333
104,61168,65plus,100to150k,1,0.5,0.5,0.5
105,61210,25to44,150kplus,1,0.125,0.25,-0.16666666666666666
106,61240,45to54,150kplus,1,-0.5625,0.5,0.0
107,61271,55to64,100to150k,1,0.4375,0.5,-0.6666666666666666
108,61291,55to64,150kplus,1,0.25,0.75,-0.16666666666666666
109,60988,55to64,100to150k,0,0.75,0.75,0.16666666666666666
110,57140,55to64,100to150k,1,0.4375,0.0,-0.6666666666666666
111,60742,55to64,75to100k,0,0.0625,0.0,-0.16666666666666666
112,60926,45to54,150kplus,0,0.1875,0.25,-0.3333333333333333
113,60686,25to44,100to150k,0,0.5625,1.0,-0.6666666666666666
114,61185,25to44,less75k,1,0.5,0.5,-0.3333333333333333
115,61220,45to54,less75k,1,0.375,1.0,-0.16666666666666666
116,56335,45to54,150kplus,0,0.375,0.5,-0.16666666666666666
117,56444,25to44,100to150k,0,0.375,0.5,-0.3333333333333333
118,56666,25to44,less75k,1,0.1875,0.25,-0.3333333333333333
119,56689,25to44,75to100k,1,0.4375,0.5,-0.16666666666666666
120,56852,65plus,150kplus,1,0.1875,0.5,0.16666666666666666
121,4406,25to44,less75k,1,0.4375,0.0,-0.3333333333333333
122,4098,45to54,75to100k,0,0.25,0.0,0.0
123,4143,55to64,150kplus,0,0.6875,0.0,-0.5
124,4276,65plus,less75k,0,0.3125,0.25,-0.3333333333333333
125,4483,25to44,less75k,1,0.5625,0.5,0.3333333333333333
126,4500,25to44,less75k,1,0.75,0.0,-0.3333333333333333
127,4504,45to54,less75k,1,0.375,0.25,0.0
128,4140,55to64,100to150k,0,0.3125,0.5,-0.3333333333333333
129,4381,65plus,less75k,1,0.8125,0.25,-0.5
130,4395,65plus,100to150k,1,0.5,0.5,-0.3333333333333333
131,4423,45to54,less75k,1,0.5,0.5,0.16666666666666666
132,5006,55to64,75to100k,1,-0.5625,0.0,0.0
133,66035,25to44,75to100k,0,0.0,0.5,0.0
134,66066,45to54,less75k,0,-0.25,0.25,-0.5
135,66263,45to54,less75k,1,0.5625,0.75,-0.16666666666666666
136,66347,55to64,less75k,1,0.5,0.5,-0.3333333333333333
137,66350,55to64,less75k,1,0.1875,0.5,-0.16666666666666666
138,4047,25to44,less75k,0,-0.0625,0.75,-0.3333333333333333
139,4055,25to44,less75k,0,1.0,0.25,0.5
140,4059,25to44,less75k,0,0.4375,0.75,-1.0
141,4069,25to44,75to100k,0,0.3125,0.5,0.0
142,4123,55to64,less75k,0,0.3125,0.0,-0.5
143,4163,65plus,less75k,0,-0.1875,0.5,-0.16666666666666666
144,4236,45to54,150kplus,0,-0.8125,0.5,0.16666666666666666
145,4333,25to44,100to150k,1,0.25,0.0,0.0
146,4342,45to54,75to100k,1,0.375,0.25,0.0
147,4361,55to64,75to100k,1,0.625,0.5,-0.6666666666666666
148,4467,65plus,less75k,1,0.0625,0.25,-0.5
149,4470,65plus,less75k,1,0.0,0.5,-0.16666666666666666
150,66022,25to44,less75k,0,0.625,1.0,-0.16666666666666666
151,66408,65plus,150kplus,1,0.375,0.75,0.16666666666666666
152,26646,55to64,75to100k,0,-0.4375,0.25,-0.16666666666666666
153,26704,65plus,less75k,0,0.5625,0.0,0.0
154,26716,65plus,100to150k,0,-0.0625,-0.5,-0.16666666666666666
155,26854,45to54,100to150k,1,0.125,0.5,-0.16666666666666666
156,36910,25to44,less75k,0,0.5,0.75,-0.6666666666666666
157,36916,25to44,100to150k,0,0.5625,0.0,-0.6666666666666666
158,36925,45to54,less75k,0,0.4375,0.5,-0.5
159,36937,45to54,75to100k,0,0.125,0.0,-0.16666666666666666
160,36942,45to54,100to150k,0,0.6875,1.0,0.16666666666666666
161,36963,55to64,100to150k,0,0.0,0.5,-0.3333333333333333
162,36971,65plus,less75k,0,-0.1875,0.0,0.0
163,36972,65plus,less75k,0,0.0625,0.25,-0.3333333333333333
164,36977,65plus,less75k,0,-0.5,0.25,0.0
165,36984,65plus,75to100k,0,0.125,0.0,0.0
166,36989,65plus,100to150k,0,0.375,0.5,-0.16666666666666666
167,36999,25to44,less75k,0,0.75,0.5,-0.16666666666666666
168,37000,25to44,less75k,0,0.5,0.25,0.0
169,37012,25to44,100to150k,0,0.5,1.0,-0.3333333333333333
170,37023,45to54,less75k,0,0.125,0.5,-1.0
171,37026,45to54,less75k,0,0.6875,0.5,-0.6666666666666666
172,37027,45to54,less75k,0,0.0,0.0,-0.3333333333333333
