,CASE_ID,age,income,household_,attitude,subnorms,pbc
0,36936,45to54,75to100k,0,0.4375,0.25,-0.6666666666666666
1,36946,45to54,100to150k,0,0.0,0.25,0.0
2,36955,55to64,less75k,0,-0.8125,1.0,-0.6666666666666666
3,36980,65plus,less75k,0,-0.0625,0.75,-0.5
4,36982,65plus,75to100k,0,0.3125,0.0,0.0
5,37001,25to44,less75k,0,1.0,0.0,-0.3333333333333333
6,37019,25to44,150kplus,0,0.125,0.75,0.0
7,37029,45to54,less75k,0,0.75,0.75,-0.5
8,37062,45to54,100to150k,0,0.125,0.0,-0.3333333333333333
9,37065,45to54,150kplus,0,0.375,0.0,-0.16666666666666666
10,37067,45to54,150kplus,0,0.375,0.25,0.16666666666666666
11,37069,45to54,150kplus,0,0.375,-0.5,-0.16666666666666666
12,37076,55to64,less75k,0,-0.375,0.25,-0.5
13,37084,55to64,75to100k,0,0.0,-0.5,-0.5
14,37089,55to64,100to150k,0,0.75,0.0,-0.8333333333333334
15,37187,45to54,100to150k,1,0.25,0.5,-0.16666666666666666
16,37196,55to64,less75k,1,0.3125,0.25,-0.6666666666666666
17,37203,55to64,less75k,1,0.4375,0.25,-0.16666666666666666
18,37210,55to64,100to150k,1,-1.0,0.5,0.0
19,37229,65plus,less75k,1,0.0,0.5,-0.16666666666666666
20,37237,65plus,75to100k,1,0.9375,-0.5,-0.16666666666666666
21,37259,45to54,less75k,1,1.0,0.5,-0.3333333333333333
22,37276,55to64,less75k,1,0.125,0.5,-0.3333333333333333
23,37286,65plus,less75k,1,0.125,0.5,-0.5
24,37304,45to54,less75k,1,0.1875,0.75,0.0
25,37320,65plus,less75k,1,0.0,0.5,-0.5
26,37334,45to54,150kplus,1,0.1875,0.0,-0.8333333333333334
27,37341,65plus,75to100k,1,0.9375,1.0,0.0
28,37049,45to54,75to100k,0,0.5,0.25,-0.6666666666666666
29,37077,55to64,less75k,0,-0.0625,-0.5,-0.16666666666666666
30,37100,65plus,less75k,0,0.625,0.5,0.0
31,37128,65plus,100to150k,0,0.5,1.0,-0.16666666666666666
32,37309,45to54,75to100k,1,0.1875,1.0,-0.16666666666666666
33,37336,55to64,75to100k,1,0.375,0.5,0.0
34,37343,65plus,150kplus,1,0.1875,0.5,0.16666666666666666
35,26707,65plus,75to100k,0,-0.125,-1.0,-0.16666666666666666
36,26727,65plus,100to150k,0,0.3125,0.0,-0.3333333333333333
37,26812,65plus,100to150k,1,0.3125,0.25,0.5
38,33137,45to54,100to150k,0,-0.3125,1.0,0.0
39,33343,55to64,less75k,0,0.625,0.0,-0.3333333333333333
40,33666,45to54,150kplus,1,0.5,0.0,0.0
41,33727,65plus,100to150k,1,0.125,0.25,0.5
42,33792,55to64,150kplus,1,0.125,0.25,-0.8333333333333334
43,1105,25to44,less75k,0,0.5,0.75,-0.16666666666666666
44,1110,25to44,less75k,0,1.0,0.75,0.0
45,1113,25to44,less75k,0,1.0,0.75,-0.3333333333333333
46,1114,25to44,less75k,0,0.8125,0.25,-0.6666666666666666
47,1123,25to44,less75k,0,0.625,0.5,-0.3333333333333333
48,1125,25to44,less75k,0,-0.375,0.75,-0.8333333333333334
49,1132,25to44,75to100k,0,0.5625,0.25,-0.5
50,1137,25to44,75to100k,0,0.125,0.0,0.0
51,1138,25to44,75to100k,0,0.4375,0.5,-0.5
52,1140,25to44,100to150k,0,0.5625,0.75,-0.3333333333333333
53,1141,25to44,100to150k,0,0.375,-0.25,-0.6666666666666666
54,1144,25to44,100to150k,0,0.375,-0.25,-1.0
55,1148,25to44,100to150k,0,0.0,0.75,-0.6666666666666666
56,1150,25to44,100to150k,0,0.375,0.25,-0.5
57,1151,25to44,100to150k,0,0.25,0.75,-1.0
58,1155,25to44,150kplus,0,0.0625,0.0,-0.3333333333333333
59,1159,25to44,150kplus,0,0.0,0.75,0.16666666666666666
60,1160,45to54,less75k,0,0.0625,0.0,-0.16666666666666666
61,1161,45to54,less75k,0,0.0625,0.75,-0.5
62,1163,45to54,less75k,0,0.3125,0.75,-0.5
63,1165,45to54,less75k,0,0.3125,1.0,-0.8333333333333334
64,1168,45to54,less75k,0,0.3125,0.25,-0.3333333333333333
65,1169,45to54,less75k,0,0.625,0.5,0.0
66,1170,45to54,less75k,0,0.5625,-0.25,0.0
67,1177,45to54,less75k,0,0.3125,0.5,0.0
68,1182,45to54,75to100k,0,0.25,0.5,0.16666666666666666
69,1187,45to54,75to100k,0,0.25,0.75,-1.0
70,1188,45to54,75to100k,0,0.1875,0.0,-0.3333333333333333
71,1190,45to54,75to100k,0,0.0625,0.25,-0.8333333333333334
72,1192,45to54,100to150k,0,0.6875,0.5,0.16666666666666666
73,1194,45to54,100to150k,0,0.8125,0.0,0.0
74,1201,45to54,100to150k,0,0.75,0.5,0.0
75,1206,45to54,150kplus,0,0.5625,1.0,-0.3333333333333333
76,1210,55to64,less75k,0,0.375,0.75,-0.8333333333333334
77,1212,55to64,less75k,0,0.0625,0.75,-0.16666666666666666
78,1213,55to64,less75k,0,0.3125,0.75,-0.5
79,1214,55to64,less75k,0,0.3125,0.5,0.16666666666666666
80,1217,55to64,less75k,0,0.25,-0.5,-0.3333333333333333
81,1222,55to64,75to100k,0,-0.125,0.0,-1.0
82,1223,55to64,75to100k,0,0.5,0.5,0.0
83,1226,55to64,75to100k,0,0.0,0.5,-0.6666666666666666
84,1228,55to64,100to150k,0,0.25,0.0,-0.6666666666666666
85,1229,55to64,100to150k,0,0.3125,0.25,0.16666666666666666
86,1239,65plus,less75k,0,0.5625,0.5,-0.5
87,1245,65plus,less75k,0,-0.0625,0.25,-0.6666666666666666
88,1250,65plus,less75k,0,0.5625,0.25,0.0
89,1251,65plus,less75k,0,0.1875,0.0,-0.3333333333333333
90,1254,65plus,75to100k,0,-0.125,0.25,0.0
91,1255,65plus,75to100k,0,-0.75,-0.25,0.0
92,1256,65plus,75to100k,0,0.0,0.5,-0.3333333333333333
93,1262,65plus,100to150k,0,0.5,1.0,0.0
94,1264,65plus,100to150k,0,-0.0625,0.5,-0.5
95,1269,65plus,100to150k,0,-0.0625,0.0,0.0
96,1270,65plus,150kplus,0,0.3125,0.5,0.0
97,1275,25to44,less75k,0,0.0,0.75,-0.6666666666666666
98,1283,25to44,less75k,0,-0.0625,-0.25,-0.5
99,1291,25to44,less75k,0,0.1875,0.0,-1.0
100,1292,25to44,less75k,0,0.625,-0.25,-0.8333333333333334
101,1296,25to44,less75k,0,0.9375,0.75,-1.0
102,1301,25to44,less75k,0,0.5625,0.75,-0.8333333333333334
103,1302,25to44,less75k,0,0.0625,0.75,-0.3333333333333333
104,1307,25to44,less75k,0,1.0,0.5,-0.16666666666666666
105,1308,25to44,75to100k,0,0.125,0.5,0.3333333333333333
106,1312,25to44,75to100k,0,0.6875,0.5,0.0
107,1315,25to44,75to100k,0,0.0625,0.25,0.0
108,1316,25to44,75to100k,0,0.375,0.0,-0.16666666666666666
109,1317,25to44,75to100k,0,1.0,0.5,-0.16666666666666666
110,1319,25to44,75to100k,0,0.375,0.5,-0.6666666666666666
111,1320,25to44,75to100k,0,0.625,0.5,0.0
112,1326,25to44,100to150k,0,0.125,0.75,-0.3333333333333333
113,1327,25to44,100to150k,0,0.5625,1.0,-0.6666666666666666
114,1331,25to44,100to150k,0,0.5,0.75,-0.3333333333333333
115,1332,25to44,100to150k,0,0.375,0.75,-0.3333333333333333
116,1337,25to44,150kplus,0,0.0,0.0,0.16666666666666666
117,1339,25to44,150kplus,0,0.5,0.0,0.0
