CASE_ID,STATE,AGE_BINNED,INCOME_BINNED,STANCE,PEOPLE_TOT_3PLUS,DV7,E2,BB1,BB2,BB3,BTE8,BE10,Co3,BE13,PBC3,PBC5,PBC9,SN4,SN5,attitude,subnorms,pbc,intention
1,1,4.0,3,2,0.0,-1.0,0.5,0.5,0.5,0.0,-0.5,0.0,0.0,0.0,-0.5,0.0,0.0,0.5,0.0,0.125,0.25,-0.16666666666666666,-1.0
2,4,3.0,4,2,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.0,0.0
3,2,4.0,3,4,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.5,0.5,0.0625,0.5,-0.16666666666666666,-0.5
4,4,4.0,4,4,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,-0.0625,0.0,-0.16666666666666666,-0.5
5,4,4.0,3,0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.3125,0.5,0.16666666666666666,0.5
6,1,3.0,3,4,0.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.8125,0.0,-0.3333333333333333,-1.0
7,1,2.0,3,2,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,1.0,0.5,0.3125,0.75,-0.5,0.0
8,4,1.0,1,1,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.5,0.25,0.25,-0.3333333333333333,1.0
9,1,4.0,4,4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0,0.5,1.0,0.3125,0.75,-0.16666666666666666,0.0
10,2,4.0,3,2,0.0,-0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.375,0.0,-0.16666666666666666,-0.5
11,3,3.0,3,2,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,-1.0,-0.5,-0.5,1.0,0.5,0.6875,0.75,-0.6666666666666666,0.0
12,3,1.0,1,3,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,-1.0,0.0,0.0,-0.5,0.0,0.3125,-0.25,-0.3333333333333333,0.0
13,1,2.0,4,4,,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,-0.5,0.0,-0.5,0.5,0.5,0.1875,0.5,-0.3333333333333333,0.0
14,2,4.0,4,4,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,-0.5,0.0,-0.5,0.5,0.5,0.3125,0.5,-0.3333333333333333,0.0
15,4,3.0,3,4,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5
16,1,2.0,3,3,,-1.0,-0.5,-0.5,-0.5,0.0,0.0,-0.5,-1.0,0.5,-1.0,-0.5,0.0,0.0,0.0,-0.3125,0.0,-0.5,-1.0
17,3,3.0,3,0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-0.5,0.0,-0.25,-0.25,-0.6666666666666666,-1.0
18,3,2.0,3,3,0.0,-0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.25,0.0,-0.3333333333333333,-0.5
19,1,1.0,3,2,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,-0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.3125,0.5,0.3333333333333333,0.0
20,4,1.0,1,3,1.0,-1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1.0,0.0,0.0,0.0,0.375,0.0,-0.3333333333333333,-1.0
21,4,1.0,5,3,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,1.0,0.5,0.5,0.75,-0.5,-0.5
22,3,1.0,5,3,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.16666666666666666,0.0
23,1,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,-0.5,-0.5,0.0,0.5,0.5,0.375,0.5,-0.3333333333333333,0.0
