,timestep,first_agent,agent1_initial_attitude,agent1_final_attitude,second_agent,agent2_initial_attitude,agent2_final_attitude
0,0,49579,0.25,0.25,49588,0.3125,0.3020833333333333
1,0,49601,0.25,0.25,49563,0.3125,0.3020833333333333
2,0,43010,-0.4375,-0.4375,43073,0.0625,-0.015277777777777779
3,0,43010,-0.4375,-0.4375,42714,0.4375,0.4375
4,0,42770,0.75,0.75,42706,0.5,0.55
5,0,43073,-0.015277777777777779,-0.015277777777777779,43172,0.3125,0.28567711076004915
6,0,42706,0.55,0.55,43010,-0.4375,-0.4375
7,0,63832,0.8125,0.8125,64155,0.3125,0.4125
8,0,79017,1.0,1.0,78854,0.0625,0.0625
9,0,79048,0.0625,0.0625,79017,1.0,1.0
10,0,59795,0.125,0.125,59458,0.5,0.48928571428571427
11,0,59751,0.5,0.5,59662,0.875,0.875
12,0,59795,0.125,0.125,59751,0.5,0.48928571428571427
13,0,59971,0.375,0.375,59694,-0.375,-0.375
14,0,59694,-0.375,-0.375,59568,0.3125,0.3125
15,0,59833,0.0625,0.0625,59971,0.375,0.3541666666666667
16,0,59662,0.875,0.875,59795,0.125,0.275
17,0,59795,0.275,0.275,59833,0.0625,0.10500000000000001
18,0,75571,0.0,0.0,75571,0.0,0.0
19,0,75796,0.4375,0.4375,75685,-0.4375,-0.4375
20,0,75685,-0.4375,-0.4375,75796,0.4375,0.4375
21,0,60057,0.375,0.375,60473,0.375,0.375
22,0,60057,0.375,0.375,60057,0.375,0.375
23,0,40631,0.375,0.375,40631,0.375,0.375
24,0,28854,0.3125,0.3125,28854,0.3125,0.3125
25,0,41723,0.625,0.625,41723,0.625,0.625
26,0,46607,0.375,0.375,46607,0.375,0.375
27,0,46607,0.375,0.375,46201,0.3125,0.325
28,0,40559,0.75,0.75,40559,0.75,0.75
29,0,40559,0.75,0.75,40717,0.5625,0.6
30,0,14667,0.75,0.75,14809,0.5,0.55
31,0,60393,0.0625,0.0625,60530,0.375,0.3541666666666667
32,0,60435,-0.125,-0.125,60435,-0.125,-0.125
33,0,31243,0.1875,0.1875,31243,0.1875,0.1875
34,0,31243,0.1875,0.1875,31354,0.3125,0.2951923076923077
35,0,31460,0.1875,0.1875,31460,0.1875,0.1875
36,0,23201,0.3125,0.3125,23201,0.3125,0.3125
37,0,41536,0.6875,0.6875,41536,0.6875,0.6875
38,0,67000,0.3125,0.3125,67000,0.3125,0.3125
39,0,15490,-0.3125,-0.3125,15428,-0.25,-0.2625
40,0,15321,0.5625,0.5625,15490,-0.3125,-0.3125
41,0,65655,-0.0625,-0.0625,65922,0.25,0.22083333333333333
42,0,76310,0.875,0.875,76017,0.3125,0.425
43,0,5036,0.625,0.625,5136,0.375,0.425
44,0,5036,0.625,0.625,4851,-0.125,-0.07500000000000001
45,0,5036,0.625,0.625,5036,0.625,0.625
46,0,5036,0.625,0.625,4975,-0.6875,-0.6875
47,0,4975,-0.6875,-0.6875,4597,-0.5625,-0.5875
48,0,4849,0.0,0.0,4696,0.4375,0.4265625
49,0,50552,0.25,0.25,50552,0.25,0.25
50,0,50552,0.25,0.25,50474,0.8125,0.8125
51,0,50356,0.5625,0.5625,50174,0.375,0.4125
52,0,44232,0.375,0.375,44232,0.375,0.375
53,0,15002,0.3125,0.3125,15002,0.3125,0.3125
54,0,8732,0.0,0.0,8660,-0.4375,-0.4265625
55,0,41985,-0.25,-0.25,41985,-0.25,-0.25
56,0,54898,-0.0625,-0.0625,54913,0.875,0.875
57,0,55264,0.0625,0.0625,55053,0.4375,0.4225
58,0,55204,0.0,0.0,54771,0.0625,0.0515625
59,0,54961,0.5,0.5,54805,0.4375,0.45
60,0,54961,0.5,0.5,55165,0.3125,0.35
