,timestep,first_agent,agent1_initial_attitude,agent1_final_attitude,second_agent,agent2_initial_attitude,agent2_final_attitude
0,0,49588,0.3125,0.3125,49601,0.25,0.2625
1,0,49579,0.25,0.25,49563,0.3125,0.3020833333333333
2,0,43172,0.3125,0.3125,43073,0.0625,0.1125
3,0,42706,0.5,0.5,42714,0.4375,0.45
4,0,42770,0.75,0.75,42770,0.75,0.75
5,0,43010,-0.4375,-0.4375,43178,1.0,1.0
6,0,43172,0.3125,0.3125,43010,-0.4375,-0.4375
7,0,64155,0.3125,0.3125,63832,0.8125,0.8125
8,0,64155,0.3125,0.3125,64155,0.3125,0.3125
9,0,79048,0.0625,0.0625,78663,0.6875,0.6875
10,0,79017,1.0,1.0,79017,1.0,1.0
11,0,78663,0.6875,0.6875,79048,0.0625,0.1875
12,0,59662,0.875,0.875,59458,0.5,0.575
13,0,59833,0.0625,0.0625,59662,0.875,0.875
14,0,59795,0.125,0.125,59751,0.5,0.48928571428571427
15,0,59795,0.125,0.125,59694,-0.375,-0.3607142857142857
16,0,59833,0.0625,0.0625,59795,0.125,0.11416666666666667
17,0,59971,0.375,0.375,59833,0.0625,0.125
18,0,75571,0.0,0.0,75571,0.0,0.0
19,0,75796,0.4375,0.4375,75796,0.4375,0.4375
20,0,60303,0.4375,0.4375,60473,0.375,0.3875
21,0,60057,0.375,0.375,60303,0.4375,0.4275
22,0,40631,0.375,0.375,40631,0.375,0.375
23,0,13324,0.875,0.875,13324,0.875,0.875
24,0,41723,0.625,0.625,41723,0.625,0.625
25,0,46607,0.375,0.375,46607,0.375,0.375
26,0,46304,0.75,0.75,46304,0.75,0.75
27,0,46607,0.375,0.375,46563,0.4375,0.4275
28,0,40932,0.0,0.0,40559,0.75,0.75
29,0,40717,0.5625,0.5625,40717,0.5625,0.5625
30,0,14667,0.75,0.75,14667,0.75,0.75
31,0,14667,0.75,0.75,14744,0.25,0.35
32,0,14744,0.35,0.35,14809,0.5,0.48384615384615387
33,0,60435,-0.125,-0.125,60530,0.375,0.3607142857142857
34,0,60393,0.0625,0.0625,60435,-0.125,-0.0975
35,0,31354,0.3125,0.3125,31243,0.1875,0.2125
36,0,13883,0.375,0.375,13883,0.375,0.375
37,0,2670,0.125,0.125,2670,0.125,0.125
38,0,67000,0.3125,0.3125,67000,0.3125,0.3125
39,0,15428,-0.25,-0.25,15428,-0.25,-0.25
40,0,15321,0.5625,0.5625,15490,-0.3125,-0.3125
41,0,76250,0.1875,0.1875,76310,0.875,0.875
42,0,76250,0.1875,0.1875,76250,0.1875,0.1875
43,0,76017,0.3125,0.3125,76017,0.3125,0.3125
44,0,4851,-0.125,-0.125,5036,0.625,0.625
45,0,4681,0.9375,0.9375,4975,-0.6875,-0.6875
46,0,5036,0.625,0.625,4597,-0.5625,-0.5625
47,0,50174,0.375,0.375,50552,0.25,0.275
48,0,50174,0.375,0.375,50474,0.8125,0.8125
49,0,8732,0.0,0.0,8660,-0.4375,-0.4265625
50,0,57479,0.125,0.125,57479,0.125,0.125
51,0,57479,0.125,0.125,57320,0.25,0.23214285714285715
52,0,54913,0.875,0.875,54913,0.875,0.875
53,0,55030,0.1875,0.1875,54824,0.4375,0.4182692307692308
54,0,54961,0.5,0.5,55053,0.4375,0.45
55,0,55264,0.0625,0.0625,55030,0.1875,0.16916666666666666
56,0,54961,0.5,0.5,54771,0.0625,0.15000000000000002
57,0,55053,0.45,0.45,54805,0.4375,0.44
58,0,55053,0.45,0.45,55264,0.0625,0.14
59,0,55133,0.0,0.0,55133,0.0,0.0
60,0,25177,0.25,0.25,25177,0.25,0.25
61,0,65094,-0.0625,-0.0625,65090,0.0625,0.04083333333333333
62,0,26089,0.75,0.75,26089,0.75,0.75
63,0,26424,0.3125,0.3125,26369,0.25,0.2625
64,0,26281,0.3125,0.3125,26424,0.3125,0.3125
65,0,13731,0.5,0.5,13731,0.5,0.5
66,0,13833,-0.4375,-0.4375,13685,-0.125,-0.1875
67,0,13310,0.375,0.375,13318,0.6875,0.6875
68,0,26560,0.0,0.0,26560,0.0,0.0
69,0,7300,-0.375,-0.375,7239,0.0625,-0.007500000000000007
70,0,6841,0.625,0.625,7100,-0.3125,-0.3125
71,0,6841,0.625,0.625,6880,0.25,0.325
72,0,6938,-0.125,-0.125,6841,0.625,0.625
73,0,32855,0.4375,0.4375,32855,0.4375,0.4375
74,0,9712,0.375,0.375,9712,0.375,0.375
75,0,64709,0.375,0.375,64875,0.375,0.375
76,0,64367,0.625,0.625,64709,0.375,0.425
77,0,64875,0.375,0.375,64821,0.3125,0.325
78,0,64709,0.425,0.425,64376,0.1875,0.235
79,0,64821,0.325,0.325,64367,0.625,0.6183333333333333
80,0,64635,0.25,0.25,64558,0.5625,0.5520833333333334
81,0,23493,0.625,0.625,23493,0.625,0.625
82,0,23441,0.3125,0.3125,23426,0.0,0.0625
83,0,23455,0.125,0.125,23307,0.75,0.75
84,0,58931,0.5625,0.5625,59418,0.5,0.5125
