,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid
0,1,7093,-0.3125,0.0,1,0,360010003003028
1,1,18854,0.0,0.0,1,0,360010002003000
2,1,67886,0.625,0.25,1,0,360010137061001
3,1,7162,0.3125,0.5,1,0,360010003003023
4,1,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
5,1,73606,0.0,0.0,1,0,360010021003000
6,1,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
7,1,31390,-0.75,0.5,1,0,360010018024005
8,1,19130,0.0,0.25,1,0,360010002001030
9,1,45605,0.9375,0.5,1,0,360010005022019
10,1,75888,-0.3125,0.5,1,0,360010139022010
11,1,14078,-0.25,0.0,1,0,360010140011009
12,1,56130,0.1875,0.5,1,0,360010135052000
13,1,78278,0.6875,0.5,1,0,360010146141000
14,1,35066,-0.0625,0.75,1,0,360010004032000
15,1,13519,-0.4375,0.0,1,0,360010139023000
16,1,13055,0.4375,0.75,1,0,360010139021015
17,1,54169,0.8125,0.75,1,0,360010141004003
18,1,38164,1.0,0.5,1,0,360010145031015
19,1,22961,0.4375,0.0,1,0,360010142024013
20,1,39225,0.0625,0.25,1,0,360010137071009
21,1,20849,0.0,0.5,1,0,360010022001002
22,1,34665,0.8125,-1.0,1,0,360010004034012
23,1,25508,0.3125,0.0,1,0,360010019022013
24,1,53642,0.75,0.75,1,0,360010138023005
25,1,72534,0.5,0.5,1,0,360010020001004
26,1,25604,-0.125,0.5,1,0,360010019022012
27,1,5685,0.5,0.75,1,0,360010138021012
28,1,68356,0.1875,1.0,1,0,360010141003000
29,1,72339,0.1875,1.0,1,0,360010020003004
30,1,41801,0.8125,0.25,1,0,360010148012037
31,1,79345,0.25,0.0,1,0,360010146142017
32,1,6481,-0.4375,0.5,1,0,360010146112000
33,1,6383,0.0,0.25,-0.8333333333333334,0,360010146112000
34,1,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
35,1,59215,0.125,-0.5,1,0,360010146063039
36,1,67773,0.1875,0.0,1,0,360010137061011
37,1,68058,0.0,0.0,1,0,360010137061012
38,1,27573,0.25,0.0,1,0,360010129001019
39,1,77924,0.3125,0.5,1,0,360010135082021
40,1,31635,0.625,1.0,1,0,360010018023001
41,1,59832,0.625,0.75,1,0,360010135081019
42,1,40688,0.25,1.0,1,0,360010146121026
43,1,28751,0.0,0.25,1,0,360010026004024
44,1,76090,0.1875,0.5,1,0,360010142032006
45,1,47998,0.25,0.75,1,0,360010130003015
46,1,10901,0.75,0.0,1,0,360010146091001
47,1,58440,0.125,0.5,1,0,360010148011092
48,1,52320,0.125,1.0,1,0,360010135083017
49,1,65655,-0.0625,0.5,1,0,360010142021013
50,2,7093,-0.3125,0.0,1,0,360010003003028
51,2,18854,0.0,0.0,1,0,360010002003000
52,2,67886,0.625,0.25,1,0,360010137061001
53,2,7162,0.3125,0.5,1,0,360010003003023
54,2,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
55,2,73606,0.0,0.0,1,0,360010021003000
56,2,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
57,2,31390,-0.75,0.5,1,0,360010018024005
58,2,19130,0.0,0.25,1,0,360010002001030
59,2,45605,0.9375,0.5,1,0,360010005022019
60,2,75888,-0.3125,0.5,1,0,360010139022010
61,2,14078,-0.25,0.0,1,0,360010140011009
62,2,56130,0.1875,0.5,1,0,360010135052000
63,2,78278,0.6875,0.5,1,0,360010146141000
64,2,35066,-0.0625,0.75,1,0,360010004032000
65,2,13519,-0.4375,0.0,1,0,360010139023000
66,2,13055,0.4375,0.75,1,0,360010139021015
67,2,54169,0.8125,0.75,1,0,360010141004003
68,2,38164,1.0,0.5,1,0,360010145031015
69,2,22961,0.4375,0.0,1,0,360010142024013
70,2,39225,0.0625,0.25,1,0,360010137071009
71,2,20849,0.0,0.5,1,0,360010022001002
72,2,34665,0.8125,-1.0,1,0,360010004034012
73,2,25508,0.3125,0.0,1,0,360010019022013
74,2,53642,0.75,0.75,1,0,360010138023005
75,2,72534,0.5,0.5,1,0,360010020001004
76,2,25604,-0.125,0.5,1,0,360010019022012
77,2,5685,0.5,0.75,1,0,360010138021012
78,2,68356,0.1875,1.0,1,0,360010141003000
79,2,72339,0.1875,1.0,1,0,360010020003004
80,2,41801,0.8125,0.25,1,0,360010148012037
81,2,79345,0.25,0.0,1,0,360010146142017
82,2,6481,-0.4375,0.5,1,0,360010146112000
83,2,6383,0.0,0.25,-0.8333333333333334,0,360010146112000
84,2,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
85,2,59215,0.125,-0.5,1,0,360010146063039
86,2,67773,0.1875,0.0,1,0,360010137061011
87,2,68058,0.0,0.0,1,0,360010137061012
88,2,27573,0.25,0.0,1,0,360010129001019
89,2,77924,0.3125,0.5,1,0,360010135082021
90,2,31635,0.625,1.0,1,0,360010018023001
91,2,59832,0.625,0.75,1,0,360010135081019
92,2,40688,0.25,1.0,1,0,360010146121026
93,2,28751,0.0,0.25,1,0,360010026004024
94,2,76090,0.1875,0.5,1,0,360010142032006
95,2,47998,0.25,0.75,1,0,360010130003015
96,2,10901,0.75,0.0,1,0,360010146091001
97,2,58440,0.125,0.5,1,0,360010148011092
98,2,52320,0.125,1.0,1,0,360010135083017
99,2,65655,-0.0625,0.5,1,0,360010142021013
100,3,7093,-0.3125,0.0,1,0,360010003003028
101,3,18854,0.0,0.0,1,0,360010002003000
102,3,67886,0.625,0.25,1,0,360010137061001
103,3,7162,0.3125,0.5,1,0,360010003003023
104,3,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
105,3,73606,0.0,0.0,1,0,360010021003000
106,3,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
107,3,31390,-0.75,0.5,1,0,360010018024005
108,3,19130,0.0,0.25,1,0,360010002001030
109,3,45605,0.9375,0.5,1,0,360010005022019
110,3,75888,-0.3125,0.5,1,0,360010139022010
111,3,14078,-0.25,0.0,1,0,360010140011009
112,3,56130,0.1875,0.5,1,0,360010135052000
113,3,78278,0.6875,0.5,1,0,360010146141000
114,3,35066,-0.0625,0.75,1,0,360010004032000
115,3,13519,-0.4375,0.0,1,0,360010139023000
116,3,13055,0.4375,0.75,1,0,360010139021015
