,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid
0,1,49601,0.25,-0.5,1,0,360010136013003
1,1,43073,0.39250000000000007,0.0,1,0,360010146082000
2,1,63832,0.7075,0.25,1,0,360010136022016
3,1,78663,0.39999999999999997,0.0,1,0,360010146144010
4,1,59458,0.5,0.5,1,0,360010135081000
5,1,75571,0.0,-0.25,1,0,360010139022005
6,1,60473,0.625,-0.5,1,0,360010139012000
7,1,40631,0.5226952380952381,0.25,1,0,360010146121001
8,1,28861,0.06749999999999998,0.0,1,0,360010026004001
9,1,13324,0.875,0.0,1,0,360010139023034
10,1,28854,0.26925,0.0,1,0,360010026004001
11,1,41723,0.625,0.75,1,0,360010148012035
12,1,46607,0.6375,0.5,1,0,360010135032000
13,1,40559,0.75,0.5,1,0,360010146121000
14,1,14667,0.75,1.0,1,0,360010142033009
15,1,43259,0.5078708516112069,1.0,1,0,360010146082020
16,1,60530,0.7305239432140336,0.75,1,0,360010139012002
17,1,31243,0.7057692307692308,1.0,1,0,360010018024001
18,1,40717,0.5845,0.75,1,0,360010146121000
19,1,42800,0.6875,0.0,1,0,360010146082017
20,1,13883,0.2916666666666667,0.25,1,0,360010139023019
21,1,46304,0.3125,0.5,1,0,360010135032000
22,1,31354,0.10464792899408287,0.25,1,0,360010018024001
23,1,75040,0.6935714285714286,0.5,1,0,360010128004001
24,1,75685,0.625,0.25,1,0,360010139022005
25,1,2670,0.40560526315789475,0.75,1,0,360010138012015
26,1,23201,0.6261363636363636,1.0,1,0,360010146075055
27,1,41536,0.6875,0.5,1,0,360010147002001
28,1,46201,0.5225,0.25,1,0,360010135032000
29,1,40932,0.0,1.0,1,0,360010146121000
30,1,67000,0.17393333333333333,0.75,1,0,360010146073032
31,1,15428,0.5255727889426477,0.5,1,0,360010139011004
32,1,65922,0.5375,0.25,1,0,360010142021013
33,1,15321,0.46789473684210525,0.5,1,0,360010139011004
34,1,76310,0.19999999999999996,1.0,1,0,360010142032015
35,1,60057,0.6375,0.5,1,0,360010139012000
36,1,5136,0.375,0.0,1,0,360010146072004
37,1,50613,0.8568285714285715,0.0,1,0,360010146074022
38,1,15490,-0.22019230769230766,0.5,1,0,360010139011004
39,1,15628,0.43950000000000006,0.0,1,0,360010139011009
40,1,44232,0.4915538461538461,0.75,1,0,360010148031149
41,1,15002,0.4625,-0.5,1,0,360010142034015
42,1,60393,0.27338458694396295,0.25,1,0,360010139012002
43,1,8732,-0.35000000000000003,0.5,1,0,360010143011000
44,1,41985,-0.25,0.25,1,0,360010148022009
45,1,57479,0.5757050819815027,0.5,1,0,360010147001063
46,1,28749,0.2625,0.0,1,0,360010026004001
47,1,54913,0.52592,1.0,1,0,360010137053019
48,1,31643,0.0625,0.0,1,0,360010018023000
49,1,40878,0.6378017249141941,-0.5,1,0,360010146121003
50,1,60435,0.23966666666666667,0.0,1,0,360010139012002
51,1,44596,0.5,0.75,1,0,360010148031014
52,1,55133,0.0,0.0,1,0,360010137053038
53,1,54898,0.5825,0.5,1,0,360010137053019
54,1,41019,0.8528846153846154,0.0,1,0,360010146121003
55,1,25177,0.25,0.5,1,0,360010019011001
56,1,31626,0.5725,0.75,1,0,360010018023016
57,1,65094,0.4817412587412587,-0.25,1,0,360010136011020
58,1,65071,0.30519230769230765,0.0,1,0,360010136011020
59,1,65090,0.6948076923076923,-0.25,1,0,360010136011020
60,1,26089,0.75,0.25,1,0,360010137073008
61,1,13731,0.5,0.75,1,0,360010139023028
62,1,37103,-0.018749999999999996,0.25,1,0,360010144011047
63,1,54961,0.5,0.25,1,0,360010137053019
64,1,64155,0.36749999999999994,0.0,1,0,360010136022016
65,1,26560,0.90625,0.0,1,0,360010144012025
66,1,7300,-0.3,0.5,-1.0,0,360010140013001
67,1,6938,0.8478243243243244,0.0,1,0,360010003003010
68,1,13685,-0.375,0.0,1,0,360010139023028
69,1,7239,0.48250000000000004,0.25,-1.0,0,360010140013001
70,1,32855,0.5574999999999999,0.5,1,0,360010141001020
71,1,7259,0.8375,0.25,1,0,360010140013001
72,1,9712,0.375,1.0,1,0,360010142011022
73,1,26369,0.7875,0.75,1,0,360010137073008
74,1,71431,0.55,0.25,1,0,360010018011004
75,1,64875,0.575,0.25,1,0,360010136014006
76,1,13833,0.735,1.0,1,0,360010139023028
77,1,26076,0.5625,1.0,1,0,360010137073015
78,1,13878,0.19437999999999997,0.75,1,0,360010139023028
79,1,23493,0.625,0.0,1,0,360010146075004
80,1,5760,0.9,0.0,1,0,360010138021011
81,1,7100,-0.21195945945945943,0.0,1,0,360010003003010
82,1,58798,0.825,0.5,1,0,360010146063013
83,1,16832,0.41500000000000004,0.75,1,0,360010143023017
84,1,76755,-0.375,0.25,1,0,360010142031013
85,1,69217,0.31799999999999995,0.0,-1.0,0,360010004033015
86,1,64935,0.3125,0.5,1,0,360010136011027
87,1,56892,0.6702272727272727,-0.25,1,0,360010143021027
88,1,54824,0.4375,0.5,1,0,360010137053019
89,1,16496,0.6875,0.0,1,0,360010145023043
90,1,26281,0.6236903621818182,0.0,1,0,360010137073008
91,1,10738,0.5961538461538461,0.5,1,0,360010137031065
92,1,33014,0.55,0.5,1,0,360010141001020
93,1,64951,0.6875,0.5,1,0,360010136011027
94,1,31460,0.7516360946745562,0.75,1,0,360010018024001
95,1,69101,0.8292647058823529,0.75,1,0,360010004033015
96,1,47005,0.6136170212765958,0.25,1,0,360010135031008
97,1,63259,0.0,0.5,1,0,360010137052001
98,1,5630,0.1,0.0,1,0,360010138021011
99,1,21782,0.375,0.75,-1.0,0,360010145021022
100,1,76572,0.3741,0.0,1,0,360010142031018
101,1,17078,0.5720000000000001,0.25,1,0,360010143023017
102,1,13318,0.6875,1.0,1,0,360010139023028
103,1,17630,-0.5,0.0,-1.0,0,360010142035030
104,1,57320,0.775,0.5,1,0,360010147001063
105,1,52627,0.7757269301050709,0.25,1,0,360010135083033
106,1,64709,0.6069454545454546,1.0,1,0,360010136014006
107,1,13310,0.29799999999999993,-1.0,1,0,360010139023028
108,1,18720,0.375,0.5,1,0,360010002002003
109,1,23426,0.6626753753753755,0.0,1,0,360010146075004
110,1,6880,0.8083333333333333,0.25,1,0,360010003003010
111,1,6642,0.125,0.0,-1.0,0,360010146111014
112,1,52409,0.21875,0.75,1,0,360010135083033
113,1,43287,0.1875,0.25,1,0,360010146082016
114,1,29024,0.5897137262805972,0.5,1,0,360010018015010
115,1,2924,0.2925,1.0,1,0,360010142023015
116,1,43116,0.375,0.75,1,0,360010146082005
117,1,25989,0.5733333333333333,0.5,1,0,360010137073003
118,1,63458,0.575,0.5,1,0,360010137052001
119,1,65048,0.125,1.0,1,0,360010136011027
120,1,64821,0.5201187899197862,0.5,1,0,360010136014006
121,1,55053,0.6389762534435262,0.0,1,0,360010137053019
122,1,19142,0.2555,0.0,1,0,360010002001029
123,1,6841,0.778578329529895,0.5,1,0,360010003003010
124,1,26306,1.0,1.0,1,0,360010137073003
125,1,43218,0.7337142857142858,0.25,1,0,360010146082016
126,1,65105,0.36968423586040916,-1.0,1,0,360010136011028
127,1,30952,0.475,0.5,1,0,360010018022001
128,1,2904,0.2797561119991333,0.5,1,0,360010142023015
129,1,69313,-0.375,0.0,1,0,360010015002003
130,1,45959,0.875,0.5,1,0,360010023001000
131,1,35727,0.35000000000000003,1.0,1,0,360010018014003
132,1,24873,0.7107142857142857,0.25,1,0,360010007003003
133,1,57185,0.4720000000000001,0.0,1,0,360010143021017
134,1,23441,0.6625000000000001,0.75,1,0,360010146075004
135,1,7093,-0.3125,0.0,1,0,360010003003028
136,1,24713,0.38785714285714284,0.5,1,0,360010007003003
137,1,23455,0.545,1.0,1,0,360010146075004
138,1,35739,0.125,0.0,1,0,360010018014003
139,1,11862,0.5625,0.5,1,0,360010026003004
140,1,65030,0.8375,0.0,1,0,360010136011028
141,1,70169,-0.5,0.25,1,0,360010007001021
142,1,31291,0.5628976286871024,0.0,1,0,360010018024018
143,1,52715,0.375,0.25,1,0,360010135083039
144,1,41196,0.5625,0.25,1,0,360010147002086
145,1,35859,0.0625,0.75,1,0,360010018014003
146,1,42784,0.7125,0.5,-1.0,0,360010146082021
147,1,41749,-0.1875,0.75,1,0,360010148012072
148,1,44236,0.22499999999999998,0.5,1,0,360010148031005
149,1,35958,0.675,0.0,1,0,360010018014013
150,1,72501,0.51902,0.25,1,0,360010020001005
151,1,47643,0.39749999999999996,0.75,1,0,360010130004006
152,1,44465,0.3122984842192865,-0.25,1,0,360010148031005
153,1,72624,-0.625,0.5,1,0,360010020001005
154,1,31895,-0.673,0.5,1,0,360010137051006
155,1,46106,0.20769230769230768,0.5,1,0,360010025004004
156,1,40542,0.22678571428571428,0.5,1,0,360010146121018
157,1,59094,0.6754686843562019,0.5,1,0,360010146063018
158,1,69325,0.5175,0.0,1,0,360010015002005
159,1,59418,0.3945748063241987,0.5,1,0,360010146063013
160,1,6640,0.23863594121460976,0.0,1,0,360010146111014
161,1,59131,0.6264795918367347,0.75,1,0,360010146063018
162,1,59337,0.4781428571428571,0.25,1,0,360010146063013
