,edges
0,"(49579, 49601)"
1,"(49588, 49588)"
2,"(49588, 49563)"
3,"(43073, 43073)"
4,"(43073, 43010)"
5,"(43010, 43178)"
6,"(63832, 63832)"
7,"(78854, 78854)"
8,"(78854, 79017)"
9,"(79048, 79048)"
10,"(59751, 59662)"
11,"(59751, 59458)"
12,"(59751, 59694)"
13,"(59694, 59833)"
14,"(75571, 75571)"
15,"(75685, 75685)"
16,"(60303, 60057)"
17,"(60303, 60303)"
18,"(28749, 28861)"
19,"(28749, 28861)"
20,"(28861, 28854)"
21,"(13324, 13324)"
22,"(46304, 46607)"
23,"(46607, 46201)"
24,"(46563, 46563)"
25,"(40717, 40717)"
26,"(14809, 14667)"
27,"(14809, 14744)"
28,"(43259, 43259)"
29,"(31243, 31354)"
30,"(31354, 31460)"
31,"(42800, 42800)"
32,"(13883, 13883)"
33,"(75040, 75040)"
34,"(23201, 23201)"
35,"(41536, 41536)"
36,"(67000, 67000)"
37,"(15428, 15428)"
38,"(65922, 65922)"
39,"(65922, 65655)"
40,"(5136, 5136)"
41,"(5136, 4851)"
42,"(4851, 4975)"
43,"(4681, 4849)"
44,"(4681, 4681)"
45,"(4975, 5036)"
46,"(4975, 4696)"
47,"(50613, 50356)"
48,"(50613, 50174)"
49,"(50174, 50552)"
50,"(50474, 50474)"
51,"(15628, 15628)"
52,"(15002, 15002)"
53,"(8732, 8732)"
54,"(8732, 8660)"
55,"(41985, 41985)"
56,"(57320, 57479)"
57,"(57320, 57320)"
58,"(55030, 54824)"
59,"(55030, 55053)"
60,"(54824, 54771)"
61,"(55264, 54805)"
62,"(55264, 55204)"
63,"(55165, 55165)"
64,"(41019, 40878)"
65,"(41019, 41019)"
66,"(44596, 44596)"
67,"(55133, 55133)"
68,"(25177, 25177)"
69,"(31626, 31626)"
70,"(65090, 65094)"
71,"(65090, 65071)"
72,"(65094, 65071)"
73,"(26281, 26281)"
74,"(26281, 26424)"
75,"(13310, 13731)"
76,"(13310, 13878)"
77,"(13685, 13833)"
78,"(13685, 13318)"
79,"(37103, 37103)"
80,"(26560, 26560)"
81,"(7239, 7300)"
82,"(7239, 7259)"
83,"(7259, 7259)"
84,"(6938, 6938)"
85,"(6938, 7100)"
86,"(7100, 6841)"
87,"(6841, 6880)"
88,"(33014, 32855)"
89,"(33014, 32855)"
90,"(9712, 9712)"
91,"(64376, 64376)"
92,"(64635, 64558)"
93,"(64635, 64875)"
94,"(26076, 26076)"
95,"(23295, 23493)"
96,"(23295, 23426)"
97,"(23493, 23307)"
98,"(23195, 23426)"
99,"(23195, 23455)"
100,"(23195, 23307)"
101,"(5760, 5760)"
102,"(5630, 5630)"
103,"(59337, 58798)"
104,"(59337, 58931)"
105,"(59337, 58896)"
106,"(58798, 59418)"
107,"(16832, 16832)"
108,"(17078, 17078)"
109,"(69217, 69217)"
110,"(69217, 69101)"
111,"(64935, 64935)"
112,"(56892, 56892)"
113,"(10313, 10738)"
114,"(47005, 47005)"
115,"(47005, 46908)"
116,"(46908, 46696)"
117,"(46808, 46808)"
118,"(63458, 63259)"
119,"(63458, 63458)"
120,"(21782, 21782)"
121,"(76572, 76572)"
122,"(17630, 17630)"
123,"(52409, 52627)"
124,"(52409, 52627)"
125,"(18720, 18720)"
126,"(18652, 18652)"
127,"(6642, 6640)"
128,"(43287, 43287)"
129,"(43287, 43218)"
130,"(29024, 29024)"
131,"(3354, 2904)"
132,"(3354, 3354)"
133,"(3621, 3273)"
134,"(3621, 3621)"
135,"(26214, 26214)"
136,"(25989, 26239)"
137,"(19142, 19142)"
138,"(65105, 65105)"
139,"(65030, 65164)"
140,"(35739, 35727)"
141,"(35727, 35859)"
142,"(12062, 12064)"
143,"(12062, 11862)"
144,"(11862, 12059)"
145,"(70169, 70169)"
146,"(31291, 31291)"
147,"(52715, 52715)"
148,"(41196, 41196)"
149,"(42784, 42784)"
150,"(41749, 41749)"
151,"(44236, 44236)"
152,"(35729, 35958)"
153,"(35729, 35983)"
154,"(35729, 35729)"
155,"(36056, 35764)"
156,"(72624, 72501)"
157,"(47800, 47643)"
158,"(47800, 47710)"
159,"(47800, 47767)"
160,"(47710, 47710)"
161,"(47710, 47846)"
162,"(31920, 31908)"
163,"(31920, 31905)"
164,"(32142, 32142)"
165,"(46106, 46106)"
166,"(40542, 40940)"
167,"(40775, 40974)"
168,"(59131, 59094)"
169,"(59131, 59131)"
170,"(59131, 59240)"
171,"(65125, 65125)"
172,"(45664, 45743)"
173,"(35134, 35134)"
174,"(39675, 39675)"
175,"(39506, 39992)"
176,"(39506, 39992)"
177,"(39506, 39495)"
178,"(39495, 39765)"
179,"(27409, 27409)"
180,"(1881, 1881)"
181,"(72923, 72923)"
182,"(23933, 23933)"
183,"(70167, 70167)"
184,"(50218, 50218)"
185,"(50770, 50697)"
