,nodes
0,73999
1,76535
2,60881
3,68658
4,57414
5,2021
6,65465
7,41038
8,55290
9,32770
10,47534
11,38230
12,51155
13,50839
14,2159
15,39196
16,20849
17,19977
18,45675
19,77884
20,34937
21,48568
22,13384
23,70131
24,74450
25,67785
26,21105
27,67924
28,77044
29,21091
30,30497
31,35092
32,55053
33,40337
34,63453
35,69752
36,12605
37,54926
38,24561
39,74621
40,22472
41,62106
42,18223
43,42754
44,77410
45,54333
46,24814
47,25627
48,38381
49,22831
50,45724
51,47690
52,72377
53,50494
54,70253
55,1462
56,23819
57,73983
58,31210
59,10117
60,54530
61,45641
62,22263
63,65719
64,76317
65,64917
66,36193
67,19841
68,80138
69,27696
70,31908
71,16158
72,37340
73,50042
74,5888
75,78043
76,61578
77,47520
78,41131
79,71960
80,44421
81,61587
82,48003
83,8184
84,8705
85,66855
86,30489
87,12860
88,56319
89,3316
90,30520
91,60117
92,51534
93,41920
94,29397
95,39150
96,7264
97,10331
98,25102
99,26561
100,64021
101,12620
102,59292
103,11848
104,9873
105,76790
106,15792
107,29748
108,36065
109,74543
110,39992
111,42233
112,5261
113,37259
114,31093
115,3997
116,43607
117,50981
118,28457
119,37835
120,27537
121,28933
122,40599
123,19743
124,54210
125,30760
126,14008
127,3388
128,69428
129,63530
130,36293
131,39739
132,33777
133,68787
134,11139
135,76830
136,35648
137,17248
138,67382
139,34352
140,26409
141,49579
142,39350
143,40775
144,3898
145,25180
146,63952
147,5390
148,17979
149,74259
150,35004
151,3498
152,45874
153,9853
154,5682
155,1543
156,58593
157,46237
158,51265
159,70442
160,66907
161,26337
162,5090
163,14104
164,51197
165,907
166,47517
167,28633
168,56604
169,77771
170,53745
171,23947
172,77400
173,32715
174,43861
175,41574
176,72043
177,50815
178,47218
179,37854
180,14197
181,57682
182,67787
183,39154
184,2896
185,39147
186,2227
187,35173
188,15207
189,51132
190,10652
191,35819
192,12062
193,65057
194,73044
195,75632
196,35727
197,26772
198,19810
199,76817
200,2711
201,27573
202,50702
203,57019
204,50347
205,26702
206,80238
207,71937
208,51513
209,50039
210,72770
211,647
212,41985
213,49196
214,24547
215,24082
216,64558
217,8539
218,15764
219,69251
220,63235
221,8048
222,61966
223,31390
224,60318
225,48387
226,22750
227,51448
228,55824
229,74404
230,45688
231,34219
232,79005
233,54027
234,39726
235,17366
236,40881
237,22660
238,13731
239,5789
240,1128
241,47421
242,4341
243,22952
244,16627
245,48327
246,14867
247,79048
248,69408
249,60023
250,14651
251,61534
252,70404
253,2299
254,27679
255,25456
256,39956
257,57049
258,57184
259,67203
260,33129
261,59800
262,49227
263,50155
264,2012
265,64322
266,38317
267,4254
268,44604
269,7869
270,50443
271,59376
272,21913
273,6841
274,75133
275,70700
276,50932
277,18701
278,7090
279,75414
280,79193
281,42239
282,53714
283,44218
284,50713
285,8064
286,63420
287,72366
288,6391
289,18111
290,54234
291,76252
292,47671
293,71813
294,29656
295,27974
296,68923
297,30354
298,38838
299,31351
300,38237
301,13324
302,68040
303,42395
304,75738
305,24294
306,53628
307,23031
308,14707
309,51958
310,60090
311,74295
312,6447
313,14660
314,11541
315,7546
316,55964
317,33995
318,66532
319,37972
320,13318
321,58408
322,48710
323,66126
324,29922
325,1800
326,10681
327,24659
328,66462
329,45116
330,29649
331,44048
332,31243
333,35877
334,76756
335,11327
336,68883
337,62499
338,45179
339,13892
340,56572
341,41372
342,41760
343,20420
344,67934
345,8285
346,75984
347,63224
348,69539
349,35437
350,79353
351,45440
352,31468
353,74958
354,20119
355,562
356,68342
357,35134
358,38997
359,57461
360,30868
361,24058
362,46141
363,4137
364,46607
365,70186
366,26507
367,20884
368,33923
369,27578
370,79106
371,63380
372,19364
373,72269
374,44784
375,759
376,58823
377,60528
378,80271
379,59117
380,48503
381,43073
382,67919
383,29351
384,3454
385,6195
386,39593
387,18258
388,79583
389,33338
390,51422
391,80079
392,28328
393,28839
394,62310
395,6413
396,13847
397,10075
398,3009
399,29097
400,1007
401,64451
402,78066
403,35006
404,4681
405,31626
406,32305
407,5503
408,58509
409,15159
410,27745
411,36339
412,30902
413,45664
414,43579
415,72416
416,70922
417,19662
418,12012
419,50730
420,51744
421,42257
422,38947
423,44259
424,14627
425,76357
426,46397
427,37406
428,62275
429,555
430,19800
431,22275
432,52726
433,64572
434,39980
435,54215
436,4634
437,3807
438,1704
439,38567
440,3025
441,18135
442,5320
443,55553
444,58722
445,36503
446,39978
447,61121
448,36066
449,32338
450,55928
451,52210
452,67885
453,56868
454,32948
455,29579
456,55622
457,644
458,43287
459,52569
460,49143
461,11080
462,53315
463,33537
464,42141
465,58416
466,45948
467,66053
468,506
469,47751
470,33220
471,61984
472,24594
473,55981
474,17920
475,40013
476,11294
477,16832
478,6184
479,16474
480,17100
481,23982
482,6794
483,55583
484,3710
485,18646
486,78380
487,58748
488,40251
489,10194
490,12553
491,58319
492,32197
493,64063
494,15299
495,40732
496,65969
497,75685
498,68495
499,42784
500,22390
501,32816
502,16401
503,62283
504,3819
505,35402
506,29342
507,66397
508,3076
509,28025
510,34594
511,51452
512,35859
513,7000
514,29093
515,67127
516,36581
517,69615
518,52167
519,17628
520,64223
521,78261
522,27352
523,37645
524,52179
525,15206
526,54824
527,15455
528,9007
529,18696
530,35320
531,14194
532,53357
533,10175
534,7975
