,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid,actualpayback,intention,tolerated_payback
0,1,49601,0.44338706238519215,-0.5,-0.1666666666666666,0,360010136013003,18.0,0.41151234399376185,10.0
1,1,43073,0.2138944521270671,0.0,-0.3333333333333333,0,360010146082000,20.0,0.3338273464016709,7.5
2,1,63832,0.8075,0.25,-0.3333333333333333,0,360010136022016,14.0,0.6408560833333333,7.5
3,1,78663,0.6504624557166452,0.0,0.0,0,360010146144010,20.0,0.5867231403615415,15.0
4,1,59458,0.5002272727272726,0.5,-0.1666666666666666,0,360010135081000,20.0,0.5464238712121212,10.0
5,1,75571,0.5475339803242941,-0.25,0.0,0,360010139022005,18.0,0.5111467785189695,15.0
6,1,60473,0.5021263039101009,-0.5,-0.5,0,360010139012000,14.0,0.3922529775543946,7.5
7,1,40631,0.3334889409701235,0.25,0.0,0,360010146121001,16.0,0.46423173345560725,15.0
8,1,28861,0.34461961628599874,0.0,-0.1666666666666666,0,360010026004001,18.0,0.41897373966877227,10.0
9,1,13324,0.8708333333333333,0.0,0.0,0,360010139023034,20.0,0.6906720833333333,15.0
10,1,28854,0.4177243258181818,0.0,-0.1666666666666666,0,360010026004001,20.0,0.45345723115510306,10.0
11,1,41723,0.6339545454545454,0.75,-0.1666666666666666,0,360010148012035,20.0,0.6365280257575758,10.0
12,1,46607,0.4477420900340864,0.5,0.1666666666666666,0,360010135032000,20.0,0.5686332772024119,15.0
13,1,40559,0.7378186285714285,0.5,-0.6666666666666666,0,360010146121000,20.0,0.5880457137638095,6.0
14,1,14667,0.75,1.0,0.0,0,360010142033009,20.0,0.741775,15.0
15,1,43259,0.324065145187957,1.0,-0.1666666666666666,0,360010146082020,20.0,0.517378195651826,10.0
16,1,60530,0.5661883253900823,0.75,0.1666666666666666,0,360010139012002,20.0,0.6515293664198352,15.0
17,1,31243,0.36044020644933905,1.0,0.0,0,360010018024001,20.0,0.5580196453821532,15.0
18,1,40717,0.5613683812343163,0.75,0.0,0,360010146121000,20.0,0.6257724654282271,15.0
19,1,42800,0.670523167534563,0.0,-0.5,0,360010146082017,20.0,0.5257357781260533,7.5
20,1,13883,0.26193963923682084,0.25,-0.6666666666666666,0,360010139023019,20.0,0.33654859449467506,6.0
21,1,46304,0.7996666666666667,0.5,-0.6666666666666666,0,360010135032000,16.0,0.6172194333333334,6.0
22,1,31354,0.37373222122132116,0.25,-0.6666666666666666,0,360010018024001,16.0,0.3892811554167639,6.0
23,1,75040,0.3801425484217856,0.5,-0.3333333333333333,0,360010128004001,18.0,0.4662965734238896,7.5
24,1,75685,-0.4102021623931494,0.25,-0.1666666666666666,0,360010139022005,20.0,0.0899493066658181,10.0
25,1,2670,0.45397760584434943,0.75,-0.3333333333333333,0,360010138012015,14.0,0.528149570010113,7.5
26,1,23201,0.36340803194240645,1.0,0.0,0,360010146075055,16.0,0.5594195686672331,15.0
27,1,41536,0.725,0.5,-0.3333333333333333,0,360010147002001,20.0,0.6289658333333333,7.5
28,1,46201,0.3012736600349978,0.25,1.0,0,360010135032000,14.0,0.5899357854385084,15.0
29,1,40932,0.17309486679446556,1.0,-0.8333333333333334,0,360010146121000,20.0,0.3522321820002827,5.0
30,1,67000,0.507309997715481,0.75,-0.3333333333333333,0,360010146073032,14.0,0.5533064592557257,7.5
31,1,15428,0.1474725377743364,0.5,-0.3333333333333333,0,360010139011004,14.0,0.3565461294014878,7.5
32,1,65922,0.39762372403283264,0.25,-0.1666666666666666,0,360010142021013,16.0,0.47100077729295386,10.0
33,1,15321,0.5536022770676325,0.5,-0.3333333333333333,0,360010139011004,14.0,0.5481175274261356,7.5
34,1,76310,0.875,1.0,-0.5,0,360010142032015,14.0,0.7302874999999999,7.5
35,1,60057,0.3509728905170677,0.5,-0.6666666666666666,0,360010139012000,20.0,0.4055705791235675,6.0
36,1,5136,0.5204362420779965,0.0,-0.6666666666666666,0,360010146072004,18.0,0.43145644205485767,6.0
37,1,50613,0.9375,0.0,-0.1666666666666666,0,360010146074022,20.0,0.6986354166666666,10.0
38,1,15490,-0.22462051944165734,0.5,0.0,0,360010139011004,20.0,0.2279965009793702,15.0
39,1,15628,0.4697399749301693,0.0,-0.5,0,360010139011009,20.0,0.4310263461745608,7.5
40,1,44232,0.5142482670699786,0.75,0.0,0,360010148031149,20.0,0.603545907576909,15.0
41,1,15002,0.34232737406179675,-0.5,0.0,0,360010142034015,20.0,0.38732582234494956,15.0
42,1,60393,0.6007232427166719,0.25,-0.5,0,360010139012002,18.0,0.5198361535894541,7.5
43,1,8732,0.09702950116894804,0.5,0.5,0,360010143011000,20.0,0.4501688157013928,15.0
44,1,41985,-0.021435499173152572,0.25,-0.1666666666666666,0,360010148022009,16.0,0.27333054170669063,10.0
45,1,57479,0.3925738096558448,0.5,-0.3333333333333333,0,360010147001063,16.0,0.4721603993479953,7.5
46,1,28749,0.43314068978998027,0.0,-0.6666666666666666,0,360010026004001,18.0,0.39027913004060033,6.0
47,1,54913,0.875,1.0,-0.3333333333333333,0,360010137053019,18.0,0.7537708333333333,7.5
48,1,31643,0.2942037990983158,0.0,-0.3333333333333333,0,360010018023000,16.0,0.37170926536800886,7.5
49,1,40878,0.3252419779570077,-0.5,0.0,0,360010146121003,20.0,0.37926664100232055,15.0
50,1,60435,-0.015564498603160275,0.0,-0.5,0,360010139012002,20.0,0.20210822600888928,7.5
51,1,44596,0.5279226971132329,0.75,0.0,0,360010148031014,18.0,0.609996136228312,15.0
52,1,55133,0.3131494801761205,0.0,0.5,0,360010137053038,20.0,0.498062609799076,15.0
53,1,54898,0.32201491881915917,0.5,-0.3333333333333333,0,360010137053019,18.0,0.43887777054033067,7.5
54,1,41019,0.011566918985396996,0.0,0.0,0,360010146121003,20.0,0.28535611568541175,15.0
55,1,25177,0.15671551322578728,0.5,-0.3333333333333333,0,360010019011001,20.0,0.3609060409219372,7.5
56,1,31626,0.4071722238616161,0.75,-0.6666666666666666,0,360010018023016,20.0,0.459104804662191,6.0
57,1,65094,0.18027375001664375,-0.25,-0.1666666666666666,0,360010136011020,20.0,0.31442679454951755,10.0
58,1,65071,0.42596021410079177,0.0,-0.5,0,360010136011020,20.0,0.41037543299134344,7.5
59,1,65090,0.26381144054319,-0.25,-0.3333333333333333,0,360010136011020,20.0,0.33034818983755604,7.5
60,1,26089,0.7416666666666667,0.25,-0.5,0,360010137073008,16.0,0.5863191666666666,7.5
61,1,13731,0.4862883581197899,0.75,0.0,0,360010139023028,20.0,0.5903572185251049,15.0
62,1,37103,0.28725169509238185,0.25,-0.5,0,360010144011047,16.0,0.37197162457507654,7.5
63,1,54961,0.47592490370732593,0.25,0.0,0,360010137053019,20.0,0.5314187770787456,15.0
64,1,64155,0.39831717612274703,0.0,-0.6666666666666666,0,360010136022016,16.0,0.3738528786437665,6.0
65,1,26560,0.33507237807318285,0.0,0.1666666666666666,0,360010144012025,20.0,0.46143697407045364,15.0
66,1,7300,-0.3508507371886494,0.5,-1.0,0,360010140013001,18.0,0.027553707268114055,0.0
67,1,6938,0.3420193621653214,0.0,-0.5,0,360010003003010,14.0,0.3707805331333821,7.5
68,1,13685,-0.1280676796410942,0.0,-0.6666666666666666,0,360010139023028,20.0,0.12555714217996253,6.0
69,1,7239,0.2778381849614543,0.25,-1.0,0,360010140013001,18.0,0.297081271846318,0.0
70,1,32855,0.5387096666071306,0.5,-0.1666666666666666,0,360010141001020,16.0,0.5645760164052502,10.0
71,1,7259,0.3097613321309777,0.25,0.1666666666666666,0,360010140013001,16.0,0.47652275369951547,15.0
72,1,9712,0.42906222725286625,1.0,-0.1666666666666666,0,360010142011022,16.0,0.5669053192618437,10.0
73,1,26369,0.31492087424464243,0.75,-0.3333333333333333,0,360010137073008,20.0,0.46255650971453116,7.5
74,1,71431,0.6289398795633118,0.25,-0.1666666666666666,0,360010018011004,14.0,0.5801126078566808,10.0
75,1,64875,0.46248889842156404,0.25,0.0,0,360010136014006,20.0,0.5250810133854518,15.0
76,1,13833,-0.48350381593681935,1.0,-0.6666666666666666,0,360010139023028,20.0,0.06599791668926899,6.0
77,1,26076,0.6107961629788778,1.0,-0.3333333333333333,0,360010137073015,20.0,0.6291458834104701,7.5
78,1,13878,0.2594828503396699,0.75,-0.3333333333333333,0,360010139023028,16.0,0.4364063938385556,7.5
79,1,23493,0.5509943593091903,0.0,0.0,0,360010146075004,20.0,0.5398040392861451,15.0
80,1,5760,0.43680540107995286,0.0,-0.3333333333333333,0,360010138021011,16.0,0.4389744410227471,7.5
81,1,7100,-0.15269467910353338,0.0,-0.5,0,360010003003010,14.0,0.13742391986686328,7.5
82,1,58798,0.3275832032958174,0.5,0.1666666666666666,0,360010146063013,20.0,0.5119543303279704,15.0
83,1,16832,0.25883597490868443,0.75,-0.3333333333333333,0,360010143023017,16.0,0.4361012626977598,7.5
84,1,76755,-0.33538354574482854,0.25,0.0,0,360010142031013,16.0,0.14872458147216436,15.0
85,1,69217,0.8078250849102377,0.0,-1.0,0,360010004033015,14.0,0.5200510925521591,0.0
